University of Nebraska-Lincoln Police,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10
17002841,ALCOHOL - DWI,8/5/2017 2:06,Closed - Cleared by Arrest-Adult,8/5/2017 2:06,,N/A,N 17TH ST & VINE ST (STREET),$0.00,$0.00,Non-University affiliate contacted on a traffic stop and found to be intoxicated. Cited for DWI and driving at night without headlights (.181 BAC.)
17002842,ALCOHOL - DRUNK,8/5/2017 3:29,Closed - Non-Criminal Case,8/5/2017 3:29,,N/A,721 K Street (SIDEWALK),$0.00,$0.00,A non University affiliate was contacted outside of The Bridge due to his level of intoxication. He was turned over to staff at The Bridge (.215 BAC).
17002843,ACCIDENTS - P.D. NOT REPORTABLE,8/5/2017 14:51,Closed - Non-Criminal Case,8/5/2017 14:51,,Nebraska Hall,900 N 16th St (GOV'T PARKING LOT (UNL)),$0.00,$600.00,Case closed.
17002848,ALCOHOL - DWI,8/5/2017 23:53,Closed - Cleared by Arrest-Adult,8/5/2017 23:53,,N/A,N 17TH ST & VINE ST (STREET),$0.00,$0.00,"A non-affiliate indivdual was pulled over for a traffic violation. The individual was ultimately cited/released for DUI, Open Container, Child Abuse, Refusal of a Chemical Test, Violating a Traffic Signal and Crossing the Center Line."
17002847,TRAFFIC - SUSPENDED DRIVER,8/5/2017 23:56,Closed - Cleared by Arrest-Adult,8/5/2017 23:56,,N/A,N 17TH ST & S ST (STREET),$0.00,$0.00,"A vehicle was stopped for a traffic violation. The non-affiliate driver was cited/released for DUR, Fictitious Plates, No Insurance, No Proof of Ownership and Violating a Stop sign."
17002849,LARCENY - STOLEN BIKE,8/6/2017 5:59,Closed - Cleared by Arrest-Adult,8/6/2017 5:59,,Canfield Administration Building North,503 N 14th St (SIDEWALK),$499.00,$0.00,Dispatch notified UPD Officer's that the UPD- Bait Bike had been stolen. Officer's went to the downtown area where eventually a non-affiliate was taken into custody. The individual was cited/lodged for Obstruction and cited/released for theft.
17002949,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",8/6/2017 6:25,Closed - Non-Criminal Case,8/6/2017 5:59,,N/A,N 10TH ST & O ST (STREET),$0.00,$175.00,Damage to UPD property.
17002857,MEDICAL EMERGENCY,8/6/2017 6:30,Closed - Non-Criminal Case,8/6/2017 6:10,,N/A,N 14TH ST & P ST (STREET),$0.00,$0.00,UPD employee injured attempting to apprehend suspect.
17002851,LARCENY - STOLEN BIKE,8/6/2017 8:19,Closed - Inactive,8/4/2017 17:00,8/6/2017 8:00,Alpha Delta Pi,1645 R St (OFF CAMPUS/GREEK HOUSING),$325.00,$0.00,Bicycle (and bike lock) stolen that was secured on the southwest portion of the property.
17002855,ALCOHOL - OPEN CONTAINER,8/7/2017 0:49,Closed - Cleared by Arrest-Adult,8/7/2017 0:49,,N/A,ANTELOPE VALLEY PARKWAY & Salt Creek RDWY (STREET),$0.00,$0.00,A vehicle was stopped fro a traffic violation. The passenger of the vehicle was in possession of an open alcohol container and was cited/released for the Open Container.
17002856,TRAFFIC - SUSPENDED DRIVER,8/7/2017 6:04,Closed - Cleared by Arrest-Adult,8/7/2017 6:04,,N/A,N ANTELOPE VALLEY PKWY & VINE ST (STREET),$0.00,$0.00,"A vehicle was stopped for a traffic violation. The driver, a non-University affiliate, was found to have a suspended license with a pick up order. The driver was cited and released for DUS, straddling lane lines and her driver's license was seized."
17002868,TRESPASSING,8/7/2017 13:45,Closed - Non-Criminal Case,8/7/2017 13:45,,Temple Building,1209 R St (UNL ACADEMIC BUILDING),$0.00,$0.00,Non Affiliate given trespass policy letter.
17002865,DISTURBANCE - OTHER,8/7/2017 15:45,Closed - Inactive,7/31/2017 0:00,8/1/2017 21:00,N/A,"3272 Starr Street Apt #3 (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Staff member reported disturbance.
17002877,FRAUD - CHECKS INSUF/NO ACC/NOT FORGED,8/8/2017 14:36,Closed - Inactive,,,Nebraska Union,1400 R St (UNKNOWN),$0.00,$0.00,Student reported possible scam.
17002878,VANDALISM - OTHER,8/9/2017 8:35,Closed - Inactive,8/7/2017 5:00,8/9/2017 5:00,N/A,912 N 14th (GOV'T LOT/FIELD (UNL)),$0.00,$40.00,Backboard was cracked by unknown means.
17002880,ACCIDENTS - P.D. REPORTABLE,8/9/2017 13:12,Closed - Non-Criminal Case,8/9/2017 13:12,,N/A,1710 Arbor Drive (GOV'T PARKING LOT (UNL)),$0.00,"$1,300.00",Dodge Caravan vs Chevy Tahoe.
17002885,LARCENY - OTHER OR FROM OPEN AREA,8/10/2017 3:37,Closed - Inactive,8/10/2017 3:37,,Canfield Administration Building North,503 N 14th St (SIDEWALK),$0.00,$0.00,Unknown party was observed to steal two lights off of a bicycle.
17002891,ANIMAL - DOG BITE TO PERSON,8/10/2017 14:59,Closed - Inactive,8/9/2017 17:45,,N/A,N 16TH ST & S ST ( ),$0.00,$0.00,University student reported being bit by a dog while passing it on a sidewalk. Further information about the owner is unknown at this time. This case is still under investigation.
17002898,ACCIDENTS - P.D. H&R NOT REPORTABLE,8/11/2017 11:32,Closed - Cleared by Arrest-Adult,8/11/2017 11:16,,The 50-50,1801 R St (GOV'T PARKING GARAGE (UNL)),$0.00,$500.00,A University student reported a hit and run of her vehicle. Suspect was identified as another University student and further investigation will consist of locating and contacting the suspect.
17002902,LARCENY - STOLEN BIKE,8/11/2017 13:12,Closed - Cleared by Arrest-Adult,8/11/2017 13:12,,Canfield Administration Building North,"503 N 14th St (UNL SUPPORT FACILITY (office, service))","$1,000.00",$0.00,Non-University affiliate stole the UPD Bait Bike. Officer's went to the downtown area where eventually a non-affiliate was cited and released for Theft by Unlawful Taking $500-$1500.
17002903,LARCENY - STOLEN BIKE,8/11/2017 13:12,Closed - Cleared by Arrest-Adult,8/11/2017 12:59,,Nebraska Union,"1400 R St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Non-University affiliate reported their bike was stolen near the City Union on campus. No suspects at this time.
17002906,ALCOHOL - MINOR IN POSSESSION,8/12/2017 1:58,Closed - Cleared by Arrest-Adult,8/12/2017 1:58,,N/A,N 16TH ST & Q ST (SIDEWALK),$0.00,$0.00,4 parties contacted for a possible disturbance and one was cited for MIP-C and taken to The Bridge. (.150 BAC)
17002907,TRESPASSING,8/12/2017 2:10,Closed - Cleared by Arrest-Adult,8/12/2017 2:10,,Abel Hall,880 N 17th St (SIDEWALK),$0.00,$0.00,Non-affiliate contacted for intoxication and found to be Ban and Barred. Party was cited/lodged for trespassing.
17002914,TRAFFIC - SUSPENDED DRIVER,8/12/2017 22:22,Closed - Cleared by Arrest-Adult,8/12/2017 22:22,,N/A,N ANTELOPE VALLEY PKWY & VINE ST (STREET),$0.00,$0.00,"Non-affiliate contacted on a traffic stop and cited/released for DUR, No Insurance, Improper Registration, and Two lights at night."
17002917,ALCOHOL - DWI,8/13/2017 2:06,Closed - Cleared by Arrest-Adult,8/13/2017 2:06,,N/A,N 11TH ST & P ST (STREET),$0.00,$0.00,Non-affiliate contacted on a traffic stop and found to be intoxicated. Cited for DUI and headlights required after dark and turned over to a sober party. (.144 BAC)
17002916,ALCOHOL - DRUNK,8/13/2017 2:23,Closed - Non-Criminal Case,8/13/2017 2:23,,The Robert E. Knoll Residential Center,440 N 17th St (SIDEWALK),$0.00,$0.00,University student contacted for intoxication and transported to The Bridge. (.249 BAC)
17002921,NARCOTICS - POSSESSION,8/14/2017 0:04,Closed - Cleared by Arrest-Adult,8/14/2017 0:04,,N/A,N ANTELOPE VALLEY PKWY & P ST (STREET),$0.00,$0.00,"A non-University affiliate was contacted on a traffic stop for a non-functioning brake light. After a probable cause search, the driver was subsequently cited for Possession of Marijuana <1 oz and Possession of Drug Paraphernalia."
17002923,ALCOHOL - DRUNK,8/14/2017 2:11,Closed - Non-Criminal Case,8/14/2017 2:11,,Mary Riepma Ross Media Arts Center-Van Brunt Visit,313 N 13th St (SIDEWALK),$0.00,$0.00,Non-affiliate contacted and taken to The Bridge (.260 BAC).
17002924,TRESPASSING,8/14/2017 4:40,Closed - Non-Criminal Case,8/14/2017 4:40,,2222 Vine Street,2222 Vine St (GOV'T PARKING LOT (UNL)),$0.00,$0.00,"A non-University affiliate was observed pulling on door handles. Individual was contacted, issued a Trespass Policy Letter, and released without further incident."
17002928,LARCENY - FROM BUILDING,8/14/2017 10:11,Closed - Inactive,8/2/2017 17:00,8/14/2017 8:00,Westbrook Music Building,1104 R St (UNL ACADEMIC BUILDING),$5.00,$0.00,Staff member reported a poster stolen from her office area.
17002936,TRAFFIC - SUSPENDED DRIVER,8/14/2017 23:29,Closed - Cleared by Arrest-Adult,8/14/2017 23:29,,N/A,N ANTELOPE VALLEY PKWY & Salt Creek RDWY (STREET),$0.00,$0.00,A vehicle was stopped for a traffic violation. The non-affiliate driver was found to be suspended. The driver was cited/released for DUS and the faulty taillight.
17002937,NARCOTICS - POSSESSION,8/15/2017 0:25,Closed - Cleared by Arrest-Adult,8/15/2017 0:25,,N/A,N 10TH ST & T ST (STREET),$0.00,$0.00,A vehicle was stopped for driving without lights at night. The odor of burnt marijuana was detected during the stop. The non-affiliate driver was cited/released for Possession of Drug Paraphernalia and No Headlights after Dark.
17002941,NARCOTICS - OTHER,8/15/2017 8:20,Closed - Inactive,,,Schorr Center,1100 T St (GOV'T PARKING GARAGE (UNL)),$0.00,$0.00,Narcotics found in an abandoned container.
17002948,TRAFFIC - SUSPENDED DRIVER,8/15/2017 22:42,Closed - Cleared by Arrest-Adult,8/15/2017 22:42,,N/A,N ANTELOPE VALLEY PKWY & MILITARY RD (STREET),$0.00,$0.00,A vehicle was stopped for a traffic violation. The non-affiliate driver was cited/released for DUS and Two Headlights Required after Dark.
17002950,NARCOTICS - POSSESSION,8/16/2017 5:24,Closed - Cleared by Arrest-Adult,8/16/2017 5:24,,Canfield Administration Building North,503 N 14th St (SIDEWALK),$500.00,$0.00,Non-affiliate lodged in jail for Possession of a Controlled Substance.  He was contacted after he stole a bicycle.
17002955,ACCIDENTS - P.D. H&R NOT REPORTABLE,8/16/2017 11:49,Closed - Cleared by Arrest-Adult,8/16/2017 1:09,,The 50-50,1801 R St (GOV'T PARKING GARAGE (UNL)),$0.00,"$1,500.00",A motor vehicle hit and run was reported on campus. Suspect vehicle was located and possible suspect has been identified. The case is still under investigation.
17002961,ACCIDENTS - P.D. REPORTABLE,8/16/2017 16:45,Closed - Non-Criminal Case,8/16/2017 16:30,8/16/2017 16:30,N/A,1710 Arbor Drive (GOV'T PARKING LOT (UNL)),$0.00,"$1,100.00",A University motor vehicle was involved in an accident. Accident report completed.
17002966,VANDALISM - OTHER,8/16/2017 21:59,Closed - Inactive,,,N/A,(UNKNOWN),$0.00,$50.00,"University student reported a belated vandalism to their vehicle. Upon investigation it occurred off campus, report for documentation only."
17002974,LARCENY - OTHER OR FROM OPEN AREA,8/17/2017 14:33,Closed - Inactive,,,N/A,821 N 22nd Street (GOV'T PARKING LOT (UNL)),$20.00,$0.00,The University of Nebraska Auction sign had various alphanumeric characters taken from the board. No suspects at this time.
17002981,LARCENY - STOLEN BIKE,8/17/2017 19:22,Closed - Inactive,7/23/2017 2:29,7/23/2017 2:32,Theodore Jorgensen Hall,855 N 16th St (SIDEWALK),$200.00,$0.00,"After a University student reported the theft of their bike on campus, the officer observed on camera multiple bikes stolen during that same period. The case is still under investigation."
17002982,NARCOTICS - POSSESSION,8/17/2017 23:37,Closed - Cleared by Arrest-Adult,8/17/2017 23:37,,Abel Hall,880 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,"Two university students were contacted in their dorm room for the odor of marijuana. Both residents were cited for Possession of Marijuana < 1 oz, Possession of Paraphernalia, MIP, and one for False ID."
17002983,ALCOHOL - MINOR IN POSSESSION,8/18/2017 2:01,Closed - Cleared by Arrest-Adult,8/18/2017 2:01,,N/A,N 16TH ST & S ST (SIDEWALK),$0.00,$0.00,"University student contacted for intoxication. Student found to be under 21 yoa and was also in possession of a fake ID. Student transported to The Bridge and cited for MIP, and possession of fake ID. (.231 BAC)"
17002984,ALCOHOL - LIQUOR LICENSE VIOLATION,8/18/2017 2:03,Closed - Non-Criminal Case,8/18/2017 2:03,,N/A,1644 P St (TAVERN-BAR-LOUNGE),$0.00,$0.00,Officers observations for a possible liquor law violation. Report to be forwarded to the Liquor Control Commission.
17002985,ALCOHOL - DRUNK,8/18/2017 3:02,Closed - Non-Criminal Case,8/18/2017 3:02,,C.P.N. Food Services N 17th Street,527 N 17th St (SIDEWALK),$0.00,$0.00,LFR and UPD were dispatched to check the welfare of a person. Upon contact party was found to be intoxicated and had injured their ankle. Party refused medical treatment and was taken to The Bridge. (BAC refused)
17002986,ALCOHOL - MINOR IN POSSESSION,8/18/2017 4:49,Closed - Cleared by Arrest-Adult,8/18/2017 4:49,,N/A,519 N. 19th Street (GOV'T PARKING LOT (UNL)),$0.00,$0.00,University students contacted in a vehicle and one found to be intoxicated and also under the age of 21. Party cited for MIP-C. (.146 BAC)
17002988,ALCOHOL - MINOR IN POSSESSION,8/18/2017 9:43,Closed - Cleared by Arrest-Adult,8/18/2017 9:43,,Theodore Jorgensen Hall,855 N 16th St (GOV'T PARKING LOT (UNL)),$0.00,$0.00,Student cited/released for MIP and Drug Paraphernalia after leaving his bong in his car.
17002989,ACCIDENTS - P.D. NOT REPORTABLE,8/18/2017 12:33,Closed - Non-Criminal Case,8/18/2017 12:15,,Richards Hall,560 Stadium Dr (GOV'T PARKING LOT (UNL)),$0.00,$700.00,A University employee struck another vehicle parked in the adjacent stall. No subsequent information was exchanged and the report is for documentation purposes only.
17002994,ACCIDENTS - P.D. H&R NOT REPORTABLE,8/18/2017 19:57,Closed - Inactive,8/18/2017 17:40,8/18/2017 19:55,Abel Hall,880 N 17th St (GOV'T PARKING LOT (UNL)),$0.00,$100.00,A University student reported a hit and run to their motor vehicle. There are not suspects at this time and the case is still under investigation.
17002995,ACCIDENTS - P.D. H&R NOT REPORTABLE,8/18/2017 20:18,Closed - Inactive,8/10/2017 14:00,8/18/2017 19:30,17th & R Parking Garage,300 N 17th St (GOV'T PARKING GARAGE (UNL)),$0.00,"$1,000.00",A University student reported a belated hit and run of their motor vehicle. There are no suspects at this time and the case is still under investigation.
17002999,ALCOHOL - DRUNK,8/18/2017 23:33,Closed - Non-Criminal Case,8/18/2017 23:33,,Memorial Stadium,1100 T St (SIDEWALK),$0.00,$0.00,"University student contacted for intoxication, and transported to The Bridge. (.191 BAC)"
17003001,ALCOHOL - MINOR IN POSSESSION,8/19/2017 2:07,Closed - Cleared by Arrest-Adult,8/19/2017 2:07,,Sandoz Hall,820 N 17th St (GOV'T PARKING LOT (UNL)),$0.00,$0.00,"6 Non-affiliates were contacted after getting out of a vehicle and attempting to walk away from an officer. All were cited/referred for MIP-C. (BAC's are as follows; .251, .173, .179, .168, .056, .071)"
17003002,ALCOHOL - DWI,8/19/2017 3:30,Closed - Cleared by Arrest-Adult,8/19/2017 3:30,,Prem S. Paul Research Center at Whittier School,2200 Vine St (STREET),$0.00,$0.00,"Non-affiliate was contacted on a traffic stop after attempting to drive up a set of stairs. Driver cited for DUI > .150, Criminal mischief/vandalism, Willful Reckless, and No Driver's License. (.195 BAC)"
17003003,ALCOHOL - DRUNK,8/19/2017 4:53,Closed - Non-Criminal Case,8/19/2017 4:53,,The Robert E. Knoll Residential Center,440 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,Non-affiliate was contacted for intoxication and transported to The Bridge. (.153 BAC)
17002991,MEDICAL EMERGENCY,8/19/2017 13:05,Closed - Non-Criminal Case,8/18/2017 13:05,,17th & R Parking Garage,"300 N 17th St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Staff member refused transport to a hospital after complaining of difficulty breathing.
17003023,MEDICAL EMERGENCY,8/20/2017 0:19,Closed - Non-Criminal Case,8/20/2017 0:19,,The Robert E. Knoll Residential Center,440 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,LFR and UPD dispatched to check the welfare of a university student reference intoxication. Student transported to hospital by LFR for further treatment.
17003030,LARCENY - FROM MOTOR VEHICLE,8/20/2017 11:52,Closed - Inactive,8/19/2017 16:00,8/20/2017 8:30,Alpha Gamma Rho,1430 Idylwild (OFF CAMPUS/GREEK HOUSING),$50.00,$0.00,Money stolen from the interior of a vehicle.
17003037,TRAFFIC - SUSPENDED DRIVER,8/20/2017 15:33,Closed - Cleared by Arrest-Adult,8/20/2017 15:33,,N/A,N 27TH ST & VINE ST (STREET),$0.00,$0.00,"Driver stopped for no license plates. Driver cited for DUS, No Valid Registration and No Insurance."
17003044,ALCOHOL - MINOR IN POSSESSION,8/20/2017 22:05,Closed - Cleared by Arrest-Adult,8/20/2017 22:05,,Smith Hall,1120 N 14th St (UNL RESIDENCE HALL),$0.00,$0.00,A report of an intoxicated male at a university dorm. The male a university student was cited/released for MIP-C (BrAC .121).
17003046,ALCOHOL - MINOR IN POSSESSION,8/21/2017 1:24,Closed - Cleared by Arrest-Adult,8/21/2017 1:24,,N/A,N 16TH ST & R ST (UNL RESIDENCE HALL),$0.00,$0.00,"A vehicle was stopped for a traffic violation. Three University of Nebraska students were cited/released for MIP-C (BrAC's .060, .178)."
17003049,MEDICAL EMERGENCY,8/21/2017 4:02,Closed - Non-Criminal Case,8/21/2017 4:02,,Abel Hall,880 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,A report of a University of Nebraska student falling in their dorm room. The student was evaluated by LFR for a minor shoulder injury and transported to a local hospital for further care.
17003058,ACCIDENTS - P.D. NOT REPORTABLE,8/21/2017 16:15,Closed - Non-Criminal Case,8/21/2017 1:30,8/21/2017 8:00,N/A,3921 Center Drive (GOV'T PARKING LOT (UNL)),$0.00,$200.00,Student reported vehicle accident
17003062,LARCENY - FROM BUILDING,8/21/2017 18:17,Open,8/21/2017 17:30,8/21/2017 18:17,Sapp Recreation Facility,"841 N 14th St (UNL SUPPORT FACILITY (office, service))","$2,392.00",$0.00,Student reported several items stolen.
17003066,FIRE - FALSE ALARM,8/22/2017 1:35,Closed - Non-Criminal Case,8/22/2017 1:35,,Delta Tau Delta,715 N 16th St (OFF CAMPUS/GREEK HOUSING),$0.00,$0.00,Officers responded to a general fire alarm going off in a fraternity house on campus. A room was found to have its smoke head obstructed. Incident was forwarded to the Fire Investigator.
17003067,DISTURBANCE - OTHER,8/22/2017 9:49,Closed - Inactive,8/22/2017 9:49,,University Suites,1780 R St (UNL RESIDENCE HALL),$0.00,$0.00,A University student reported having problems with her current roommate. The case is currently under investigation.
17003068,LARCENY - OTHER OR FROM OPEN AREA,8/22/2017 11:00,Closed - Inactive,8/22/2017 0:30,8/22/2017 9:30,The Village,1055 N 16th St (UNL RESIDENCE HALL),$4.00,$0.00,A University student reported the theft of a release hub on their bicycle. No suspects at this time.
17003070,ACCIDENTS - P.D. H&R NOT REPORTABLE,8/22/2017 13:38,Closed - Cleared by Arrest-Adult,8/22/2017 11:35,,Recreation and Wellness Center,1717 N 35th St (GOV'T PARKING LOT (UNL)),$0.00,"$1,000.00",Student reported hit and run.
17003071,LOST OR STOLEN ITEM,8/22/2017 13:54,Closed - Non-Criminal Case,8/21/2017 9:20,8/21/2017 10:30,Avery Hall,"1144 T St (UNL SUPPORT FACILITY (office, service))",$800.00,$0.00,A University student reported that her musical instrument was missing. No suspects at this time and the case is still under investigation.
17003079,ACCIDENTS - P.D. H&R NOT REPORTABLE,8/22/2017 18:44,Closed - Cleared by Arrest-Adult,8/22/2017 10:30,8/22/2017 18:40,17th & R Parking Garage,300 N 17th St (GOV'T PARKING GARAGE (UNL)),$0.00,$900.00,Student reported hit and run accident
17003078,DISTURBANCE - OTHER,8/22/2017 19:25,Closed - Inactive,,,UNL Police,300 N 17th St (UNKNOWN),$0.00,$0.00,A University student reported an ongoing disturbance with a non-University affiliate. The case is currently under investigation.
17003080,LARCENY - STOLEN BIKE,8/22/2017 19:42,Closed - Inactive,8/10/2017 11:15,8/22/2017 19:30,Memorial Stadium,1100 T St (SIDEWALK),$485.00,$0.00,Student reported the theft of their bike.
17003082,LARCENY - OTHER OR FROM OPEN AREA,8/23/2017 0:26,Closed - Inactive,8/21/2017 21:00,8/21/2017 21:45,Harper Hall,1150 N 14th St (UNL RESIDENCE HALL),$45.00,$0.00,A belated theft report was received on 08/22/2017. A University of Nebraska student their wallet being stolen from the HSS basketball courts on 08/21/2017. Investigation continues.
17003084,ALCOHOL - MINOR IN POSSESSION,8/23/2017 1:59,Closed - Cleared by Arrest-Adult,8/23/2017 1:59,,Schramm Hall,1130 N 14th St (UNL RESIDENCE HALL),$0.00,$0.00,A report of an intoxicated female at Schramm Hall. A University of Nebraska student was placed into civil protective custody and transported to The Bridge due to alcohol intoxication. The student was cited/released for MIP-C (BAC .165) and left in the care of Bridge staff.
17003092,ACCIDENTS - P.D. REPORTABLE,8/23/2017 16:38,Closed - Non-Criminal Case,8/23/2017 16:38,8/23/2017 16:38,N/A,(GOV'T PARKING LOT (UNL)),$0.00,$350.00,A University student reported a motor vehicle accident occurring on campus. State accident report completed.
17003096,SS - CHECK WELFARE OF PERSON,8/23/2017 17:41,Closed - Non-Criminal Case,8/23/2017 17:41,,University Health Center,"1500 U St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,A University employee reported concerns about a student due to his behavior. He was located and found to be in good health with no concerns. He was later released without incident.
17003098,VANDALISM - OTHER,8/23/2017 18:14,Closed - Inactive,8/18/2017 10:00,8/23/2017 20:30,The Village,1055 N 16th St (SIDEWALK),$0.00,$42.00,University student reported a belated vandalism to their bicycle.
17003100,NARCOTICS - POSSESSION,8/23/2017 21:47,Closed - Cleared by Arrest-Adult,8/23/2017 21:47,,Abel Hall,880 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,"2 University students along with two non-students contacted in a dorm room for possible narcotic activity. One student cited for MIP and Possession of Marijuana < 1oz., Possession of Paraphernalia. Another student referred for MIP, and one non-student cited/released for Procuring to a Minor."
17003102,ALCOHOL - DRUNK,8/24/2017 1:42,Closed - Non-Criminal Case,8/24/2017 1:42,,N/A,Q ST & N 18TH ST (SIDEWALK),$0.00,$0.00,Non affiliate contacted for intoxication and transported to The Bridge. (PBT refused)
17003106,ACCIDENTS - P.D. NOT REPORTABLE,8/24/2017 11:49,Closed - Non-Criminal Case,8/24/2017 11:49,,14th & Avery Parking Garage,1111 N 14th St (GOV'T PARKING GARAGE (UNL)),$0.00,"$1,300.00",A University student reported a motor vehicle accident on campus. Both parties exchanged information and were released without further incident.
17003108,DISTURBANCE - OTHER,8/24/2017 13:04,Closed - Non-Criminal Case,,,Architecture Hall,402 Stadium Dr (UNL ACADEMIC BUILDING),$0.00,$0.00,A University student reported suspicious behavior from a fellow student. No further concerns at this time.
17003109,DISTURBANCE - OTHER,8/24/2017 13:22,Closed - Inactive,8/21/2017 9:00,,Abel Hall,880 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,A University student reported being in an uncomfortable situation with another University student. There are no further concerns at this time.
17003110,FRAUD - CREDIT CARDS/ATM/BANK CARD,8/24/2017 13:55,Closed - Non-Criminal Case,,,UNL Police,300 N 17th St (UNKNOWN),$0.00,$0.00,A University student reported fraudulent use on two of his credit cards. There are no suspects at this time and the case is under investigation.
17003111,NARCOTICS - POSSESSION,8/24/2017 14:48,Closed - Cleared by Arrest-Adult,8/24/2017 14:48,,The Robert E. Knoll Residential Center,440 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,Officers responded to Knoll Residence Center on the report of the odor of marijuana. Officers located the resident of the room and he was cited and released for possession of marijuana < 1oz.
17003114,LARCENY - STOLEN BIKE,8/24/2017 17:22,Closed - Inactive,8/21/2017 8:30,8/23/2017 15:00,Hardin Hall,"1600 N 33rd St (UNL SUPPORT FACILITY (office, service))",$820.00,$0.00,A University student reported the theft of their bicycle and cable lock. There are not suspects at this time and the case is still under investigation.
17003121,ALCOHOL - MINOR IN POSSESSION,8/24/2017 22:54,Closed - Cleared by Arrest-Adult,8/24/2017 22:54,,Memorial Stadium,1100 T St (SIDEWALK),$0.00,$0.00,University student contacted for urinating in public north of the stadium. Cited released for Littering/urinating and MIP-C. (.225 BAC)
17003123,ALCOHOL - MINOR IN POSSESSION,8/24/2017 22:56,Closed - Cleared by Arrest-Adult,8/24/2017 22:56,,N/A,VINE ST & N 14TH ST (SIDEWALK),$0.00,$0.00,"8 University students contacted for intoxication. All parties cited for MIP/MIP-C, one was transported to The Bridge and also cited for False ID. One student was lodged. (BACs .133, .220, .107, .239, .077, .056 and two refused)"
17003125,ALCOHOL - USING FALSE I.D.,8/24/2017 23:33,Closed - Cleared by Arrest-Adult,8/24/2017 23:33,,N/A,N 14TH ST & VINE ST (SIDEWALK),$0.00,$0.00,Wallet was turned into UPD that contained a false ID.
17003126,ALCOHOL - MINOR IN POSSESSION,8/25/2017 0:27,Closed - Cleared by Arrest-Adult,8/25/2017 0:27,,Sandoz Hall,820 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,University student contacted for intoxication and transported to The Bridge. Cited for MIP-C (.187 BAC)
17003127,ALCOHOL - DRUNK,8/25/2017 2:38,Closed - Non-Criminal Case,8/25/2017 2:38,,UNL Police,300 N 17th St (GOV'T PARKING GARAGE (UNL)),$0.00,$0.00,"Two University students were contacted for intoxication and both were transported to the Bridge. (BACs .239, and .194)"
17003137,DISTURBANCE - OTHER,8/25/2017 11:32,Closed - Non-Criminal Case,8/24/2017 17:00,8/24/2017 17:00,Schorr Center,"1100 T St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Staff member report disturbance.
17003132,ACCIDENTS - P.D. NOT REPORTABLE,8/25/2017 12:14,Closed - Non-Criminal Case,8/25/2017 12:00,,14th & Avery Parking Garage,1111 N 14th St (GOV'T PARKING GARAGE (UNL)),$0.00,$500.00,A university student reported a belated motor vehicle accident.  Parties involved exchanged information prior to officer arrival.
17003134,DISTURBANCE - OTHER,8/25/2017 14:04,Closed - Non-Criminal Case,8/25/2017 14:04,,N/A,"1400 R Street (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Officers responded to the report of a possible disturbance. No police action was taken.
17003139,OUTSIDE - O.P.S. OTHER,8/25/2017 16:41,Closed - Non-Criminal Case,8/25/2017 16:41,8/25/2017 16:41,N/A,301 W. Charleston Street (MULTI-DWELLING (7 + UNITS) off campus),$0.00,$0.00,Student reported off campus disturbance.
17003140,ACCIDENTS - P.D. H&R NOT REPORTABLE,8/25/2017 17:50,Closed - Inactive,8/24/2017 9:00,8/25/2017 15:20,19th/Vine Parking Garage,1830 Vine St (GOV'T PARKING GARAGE (UNL)),$0.00,"$1,000.00",A University student reported damage to her motor vehicle. The case is currently under investigation.
17003141,LOST OR STOLEN ITEM,8/25/2017 19:53,Closed - Non-Criminal Case,8/25/2017 12:00,8/25/2017 15:30,Love Library North & Link,"1300 R St (UNL SUPPORT FACILITY (office, service))",$10.00,$0.00,Student reported missing wallet.
17003147,TRAFFIC - OTHER,8/26/2017 1:06,Closed - Cleared by Arrest-Adult,8/26/2017 1:06,,N/A,N 16TH ST & R ST (STREET),$0.00,$0.00,Two non affiliates were cited lodged for flee to avoid after being contacted when one of them was involved in an unrelated single motorcycle accident.
17003145,TRAFFIC - SUSPENDED DRIVER,8/26/2017 1:49,Closed - Cleared by Arrest-Adult,8/26/2017 1:49,,University Suites,1780 R St (STREET),$0.00,$500.00,"Non affiliate contacted after a single motorcycle accident. Party was cited released for Driving Under Revocation, Reckless Driving, No proof of Ownership, No Insurance, No Valid registration. Driver was then lodged on an unrelated warrant."
